contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
TLT260128C00072000,2026-01-16 15:35:53+00:00,72.0,16.25,15.7,15.85,0.0,0.0,,2,1.2812535937499998,True,REGULAR,USD,call
TLT260128C00073000,2026-01-20 14:57:56+00:00,73.0,13.7,14.7,14.85,0.0,0.0,,18,1.203128984375,True,REGULAR,USD,call
TLT260128C00074000,2026-01-20 14:57:56+00:00,74.0,12.7,13.7,13.85,0.0,0.0,,3,1.125004375,True,REGULAR,USD,call
TLT260128C00077000,2026-01-21 16:35:46+00:00,77.0,10.05,10.7,10.85,0.0,0.0,,1,0.8984385156249999,True,REGULAR,USD,call
TLT260128C00078000,2026-01-21 15:11:30+00:00,78.0,8.8,9.7,9.85,0.0,0.0,,1,0.8242205078124999,True,REGULAR,USD,call
TLT260128C00083000,2026-01-23 17:59:20+00:00,83.0,4.55,4.7,4.85,0.0,0.0,1.0,7,0.445318046875,True,REGULAR,USD,call
TLT260128C00084000,2026-01-20 19:01:58+00:00,84.0,2.87,3.7,3.85,0.0,0.0,,5,0.367193828125,True,REGULAR,USD,call
TLT260128C00085000,2026-01-23 15:25:03+00:00,85.0,2.94,2.75,2.84,0.0,0.0,10.0,90,0.273444765625,True,REGULAR,USD,call
TLT260128C00085500,2026-01-23 18:51:26+00:00,85.5,2.3,2.25,2.35,0.0,0.0,100.0,87,0.24414818359375,True,REGULAR,USD,call
TLT260128C00086000,2026-01-27 17:06:56+00:00,86.0,1.88,1.76,1.85,-0.120000005,-6.0,23.0,194,0.20313296874999998,True,REGULAR,USD,call
TLT260128C00086500,2026-01-27 14:34:18+00:00,86.5,1.69,1.27,1.36,-0.15999997,-8.648646,150.0,3540,0.16797707031250003,True,REGULAR,USD,call
TLT260128C00087000,2026-01-27 20:56:42+00:00,87.0,0.75,0.8,0.88,-0.59000003,-44.029854,133.0,2337,0.131844619140625,True,REGULAR,USD,call
TLT260128C00087500,2026-01-27 21:14:32+00:00,87.5,0.4,0.41,0.42,-0.48999998,-55.056175,263.0,2567,0.092782509765625,True,REGULAR,USD,call
TLT260128C00088000,2026-01-27 21:14:41+00:00,88.0,0.13,0.13,0.14,-0.36,-73.46938,4549.0,7122,0.08692319335937501,False,REGULAR,USD,call
TLT260128C00088500,2026-01-27 21:14:58+00:00,88.5,0.04,0.03,0.04,-0.18,-81.818184,2207.0,4316,0.09473561523437501,False,REGULAR,USD,call
TLT260128C00089000,2026-01-27 21:10:31+00:00,89.0,0.02,0.01,0.02,-0.06,-75.0,1594.0,3473,0.117196328125,False,REGULAR,USD,call
TLT260128C00089500,2026-01-27 18:47:56+00:00,89.5,0.01,0.0,0.01,-0.02,-66.66667,166.0,1273,0.13672738281250002,False,REGULAR,USD,call
TLT260128C00090000,2026-01-27 20:35:53+00:00,90.0,0.01,0.0,0.01,-0.01,-50.0,15.0,840,0.16797707031250003,False,REGULAR,USD,call
TLT260128C00090500,2026-01-26 17:51:13+00:00,90.5,0.01,0.0,0.01,0.0,0.0,131.0,293,0.20313296874999998,False,REGULAR,USD,call
TLT260128C00091000,2026-01-26 20:59:01+00:00,91.0,0.01,0.0,0.01,0.0,0.0,1078.0,1390,0.2304764453125,False,REGULAR,USD,call
TLT260128C00091500,2026-01-26 15:20:58+00:00,91.5,0.01,0.0,0.01,0.0,0.0,2781.0,3420,0.257819921875,False,REGULAR,USD,call
